  Fermat    Miller  Strassen Erastotene
719 0.015386 0.024187 0.016050
720 0.015314 0.017910 0.016032
721 0.015357 0.013959 0.016133
722 0.015284 0.022745 0.016103
723 0.015313 0.013941 0.016094
724 0.015334 0.026497 0.016081
725 0.015347 0.017197 0.016132
726 0.015349 0.017448 0.016179
727 0.015301 0.013970 0.016152
728 0.015398 0.023721 0.016232
729 0.015406 0.014005 0.016176
730 0.015368 0.027996 0.016188
731 0.015525 0.022648 0.016174
732 0.015369 0.028549 0.016174
733 0.015441 0.014040 0.016279
734 0.015443 0.016481 0.016285
735 0.015442 0.014084 0.016235
736 0.015433 0.021665 0.016286
737 0.015585 0.016321 0.016319
738 0.015575 0.014144 0.016394
739 0.015501 0.014097 0.016363
740 0.015549 0.024299 0.016359
741 0.015523 0.031396 0.016348
742 0.015550 0.014135 0.016379
743 0.015632 0.014162 0.016403
744 0.015602 0.014184 0.016490
745 0.015608 0.014156 0.016427
746 0.015630 0.014226 0.016462
747 0.015644 0.018392 0.016486
748 0.015667 0.014311 0.016535
749 0.015817 0.020871 0.016487
750 0.015745 0.027245 0.016493
751 0.015650 0.014244 0.016535
752 0.015685 0.037333 0.016515
753 0.015711 0.017618 0.016551
754 0.015737 0.014256 0.016553
755 0.015718 0.014242 0.016557
756 0.015726 0.014304 0.016595
757 0.015856 0.022446 0.016586
758 0.015755 0.020485 0.016565
759 0.015818 0.014344 0.016618
760 0.015832 0.017986 0.016615
761 0.015777 0.046156 0.016648
762 0.015802 0.020830 0.016660
763 0.015848 0.014362 0.016658
764 0.015861 0.014345 0.016667
765 0.015841 0.014342 0.016684
766 0.015864 0.014395 0.016729
767 0.015450 0.013986 0.016310
768 0.016548 0.015064 0.017361
769 0.016755 0.030314 0.017499
770 0.016758 0.015257 0.017630
771 0.016772 0.019089 0.017588
772 0.016717 0.025399 0.017594
773 0.016654 0.015150 0.017528
774 0.016725 0.024775 0.017580
775 0.016720 0.026940 0.017556
776 0.016689 0.015216 0.017604
777 0.016746 0.019977 0.017578
778 0.016750 0.015207 0.017594
779 0.016777 0.023471 0.017614
780 0.016764 0.015273 0.017627
781 0.016757 0.018812 0.017644
782 0.016729 0.015225 0.017678
783 0.016821 0.019422 0.017662
784 0.016804 0.015250 0.017712
785 0.016760 0.015255 0.017684
786 0.017106 0.020447 0.017733
787 0.016827 0.015275 0.017713
788 0.016839 0.019802 0.017738
789 0.016855 0.026645 0.017762
790 0.016876 0.017583 0.017777
791 0.016855 0.015360 0.017767
792 0.016864 0.025068 0.017797
793 0.016921 0.039294 0.017833
794 0.016952 0.040109 0.017835
795 0.016968 0.015406 0.017813
796 0.016951 0.015336 0.017745
797 0.016882 0.023087 0.017811
798 0.016965 0.015412 0.017856
799 0.017023 0.019685 0.017920
800 0.016996 0.025571 0.017901
801 0.017126 0.021486 0.018017
802 0.017099 0.015523 0.017961
803 0.017092 0.015537 0.018012
804 0.017127 0.015543 0.018014
805 0.017119 0.038959 0.018065
806 0.017115 0.020503 0.018208
